# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
34	3.6182913957258e-37	2.508929637267e-07	1.4529240444735e-05	5.4114164851328e-06	2.8854147290585e-07	1.7311461543854e-06	1.1425344579435e-64	0.50145837639916
34.2	1.7712515083111e-36	1.0234811453198e-05	0.00018588220123438	7.6404244159863e-05	2.7422748985366e-07	6.1173493352385e-05	6.6299340886311e-65	0.50179197212163
34.48	-7.9343997677495e-37	2.7693070535547e-06	7.603340574886e-05	2.9788043497796e-05	2.5689776090286e-07	1.7384802408133e-05	3.1476357214644e-65	0.50141754383374
34.872	-4.0252856176187e-37	4.660759187115e-07	2.2112473412005e-05	8.2815367947354e-06	2.345943642952e-07	3.1299024165642e-06	1.1376324609981e-65	0.5011224952417
35	-1.8782434406767e-37	2.4875253412818e-07	1.4373825905119e-05	5.3354179804527e-06	2.2774815395824e-07	1.711804502701e-06	8.0252055961813e-66	0.50105239717029
35.2	-4.2823642379693e-37	8.2179508788398e-06	0.00015013889537848	6.1635877283602e-05	2.1660830442924e-07	4.9040804250826e-05	4.662392143885e-66	0.50123324434949
35.48	-2.1692337626792e-37	2.2265716621727e-06	6.1458224557553e-05	2.4055643063681e-05	2.0304244854698e-07	1.3954736177827e-05	2.2161156165449e-66	0.50094583746587
35.872	4.855897487583e-37	3.7542094282024e-07	1.789373637233e-05	6.6968910476909e-06	1.8556454359334e-07	2.516778863248e-06	8.0201170980218e-67	0.5006986180008
36	1.4772838973497e-37	2.0050160097249e-07	1.163658329533e-05	4.3162970209319e-06	1.8019598627547e-07	1.3773561846076e-06	5.6603054052522e-67	0.50063582306608
36.2	9.6988435912783e-37	7.9264306995777e-06	0.00014350465849917	5.8975089969254e-05	1.7143718081472e-07	4.720994710004e-05	3.2907416564361e-67	0.50079072839085
36.48	4.3551022860182e-37	2.1504690480407e-06	5.881146299005e-05	2.3031573039631e-05	1.6078853737088e-07	1.345110737402e-05	1.5656469405008e-67	0.50052560473821
36.872	3.141495220376e-37	3.6326012449957e-07	1.7148455273711e-05	6.4125008558868e-06	1.4705840211653e-07	2.4302486531824e-06	5.6734098750838e-68	0.50029017864341
37	1.2163122543738e-37	1.941367599016e-07	1.1157730952208e-05	4.1316181739448e-06	1.4283841903254e-07	1.3308583371906e-06	4.0059553253116e-68	0.50022916845898
37.2	9.4111079657234e-39	6.2296227391128e-06	0.00011307447480634	4.6445415934182e-05	1.3599038334642e-07	3.7071342311682e-05	2.3316851700069e-68	0.5002616047528
37.48	-1.4948585958311e-37	1.6923803221477e-06	4.6379033159895e-05	1.8156448733247e-05	1.2761080330489e-07	1.0575959046479e-05	1.1106471390322e-68	0.50006765575284
37.872	2.490206888236e-37	2.8640278087533e-07	1.3539589740002e-05	5.0622953901735e-06	1.1679575589014e-07	1.9141394466397e-06	4.0299143369986e-69	0.49987121028422
38	6.7084421915791e-38	1.5316350870962e-07	8.8136034950551e-06	3.2633281563135e-06	1.1346977805081e-07	1.0488951657534e-06	2.8468345891853e-69	0.4998161153966
38.2	-6.6915952563789e-39	5.3973468622193e-06	9.7123618262829e-05	3.9943456204686e-05	1.0808103605385e-07	3.2079399798105e-05	1.6585435877148e-69	0.49979024311147
