# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
24.2	0.026434120079753	9.6240020041097e-40	2.6363721205176e-54	8.939845234832e-22	4.8644561919372e-20	1.120442111875e-22	8.6541105483431e-07	0.011031395778934
24.48	-0.0071223872770182	3.8819352866928e-40	1.2424694477978e-54	7.3077730730335e-22	4.2459861599007e-20	9.0450197833974e-23	8.1664626732791e-07	0.011035420495362
24.872	-0.007124673688151	2.9238994947399e-39	4.4360422139341e-55	5.1645970594155e-22	3.3815100128568e-20	6.1975790560923e-23	7.5299702058245e-07	0.011039340767875
25	-0.0071252508968099	1.5315127037432e-39	3.1153717609033e-55	4.5706054146084e-22	3.1201747934063e-20	5.4118395450895e-23	7.3328770591341e-07	0.01104034701758
25.2	0.13677813506999	2.0771859582717e-38	1.7952332315769e-55	9.3164672865713e-22	3.8286385991175e-20	1.0828259441777e-22	7.0098173109584e-07	0.011017669148217
25.48	-0.0071174461702474	1.9477801679591e-40	8.4551395801432e-56	7.2226170477355e-21	7.2148230737869e-20	8.5330181197026e-22	6.6139333498973e-07	0.011027342110093
25.872	-0.0071224551090495	8.4319119283144e-39	3.0228063020043e-56	7.42564095544e-21	8.3050821263941e-20	8.4436771177494e-22	6.0981250496127e-07	0.011036099074571
26	-0.007123672491862	3.6514344147047e-39	2.1239013548737e-56	7.2535773088652e-21	8.6540524077744e-20	8.1345840440826e-22	5.9384135722499e-07	0.011038203205073
26.2	0.14707366460124	4.4673553078025e-39	1.2242354393859e-56	1.2385122970844e-20	1.7107292919578e-19	1.3580990013607e-21	5.6745969409213e-07	0.01101512326533
26.48	-0.0071167440413411	3.0345562819704e-38	5.7707249889974e-57	2.4614710684888e-20	3.0656170565257e-19	2.8886604796558e-21	5.3538740291546e-07	0.011026688592375
26.872	-0.0071227156559245	5.6848391991231e-40	2.0658437065996e-57	2.0525358939103e-20	3.2478024196468e-19	2.3605450986929e-21	4.9361292089372e-07	0.011037045092458
27	-0.0071241466048177	1.3046939711313e-39	1.4522111200627e-57	1.8850998697778e-20	3.2417284749295e-19	2.1509802757401e-21	4.8067888263534e-07	0.011039507578558
27.2	0.15080649830404	3.1454425758121e-38	8.3753643459277e-58	2.5542389205057e-20	5.0662549605198e-19	2.9138710270225e-21	4.5922793003049e-07	0.011016219511636
27.48	-0.0071174699039714	3.5447649240504e-38	3.9515992385774e-58	3.8819906470839e-20	6.8325978246506e-19	4.7559012763498e-21	4.3325831789659e-07	0.011028412481847
27.872	-0.0071237680257161	6.1973442947769e-39	1.4164879838797e-58	2.9910938043242e-20	6.361641812705e-19	3.6194154222807e-21	3.9943972205075e-07	0.011039296199477
28	-0.0071252671809896	3.1885073603218e-39	9.9621242417096e-59	2.6911318008386e-20	6.1251367135781e-19	3.2370628917594e-21	3.889694643329e-07	0.011041876099918
28.2	0.14577397813802	1.2599811349955e-38	5.750905399076e-59	3.3365895845654e-20	8.2639236428126e-19	4.0204155188408e-21	3.7162514141293e-07	0.011019575810425
28.48	-0.0071190621972656	6.7622972743279e-38	2.7162027653599e-59	4.3136298940529e-20	9.5512063541691e-19	5.4507188982195e-21	3.5060300305227e-07	0.011031610206473
28.872	-0.0071252991129557	9.463094696396e-39	9.7492588670418e-60	3.2066202837644e-20	8.3222015489563e-19	3.9970438579146e-21	3.2322862504403e-07	0.011042353224403
29	-0.0071267867008464	4.3022055790083e-39	6.8598750540508e-60	2.8591760931176e-20	7.8687352702916e-19	3.5416590362075e-21	3.1475384929815e-07	0.011044899874503
29.2	0.14680673848307	2.8826333846141e-38	3.9627063485399e-60	3.4668967273955e-20	1.0004654031194e-18	4.2983001770821e-21	3.0068404016901e-07	0.011022367414292
29.48	-0.0071204502832031	5.5718799580514e-39	1.8734147239675e-60	4.5116498013402e-20	1.1084209753032e-18	5.8528286765033e-21	2.8366988670188e-07	0.011034415941639
29.872	-0.0071267014990234	7.3653443404096e-40	6.7330306725013e-61	3.3588435258924e-20	9.4182148519118e-19	4.2934731347891e-21	2.6151757717912e-07	0.011045174062865
