# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
36.872	9.9946536307316	1.0343583498854e-08	2.0053976109238e-07	1.4001531901921e-06	1.9797178110676e-05	0.0011394807190714	3.3431895065175e-07	0.0084879943702256
37	9.994655647328	1.0310832788058e-08	1.9948042867386e-07	1.3929363535815e-06	1.9698796322856e-05	0.0011323319652277	3.3259627812409e-07	0.0084847730700162
37.2	9.9946602959104	1.0276229070447e-08	1.9807686341331e-07	1.3825782170412e-06	1.9548170589966e-05	0.0011213416056365	3.3009748615877e-07	0.0084798191307176
37.48	9.994665517153	1.013398001528e-08	1.9624888801946e-07	1.3694782498955e-06	1.9351557002534e-05	0.0011063563103368	3.2696415714466e-07	0.0084730759851001
37.872	9.9946718425206	9.9443059717764e-09	1.929780034998e-07	1.3480246019919e-06	1.9058331711516e-05	0.0010860634616415	3.2188929422314e-07	0.0084636588435047
38	9.994673757348	9.9122415334882e-09	1.9193129783536e-07	1.3408549055608e-06	1.895955974065e-05	0.0010795882133029	3.2017894751726e-07	0.0084606096700465
38.2	9.9946782320864	9.8786108609189e-09	1.905462021478e-07	1.3305798494126e-06	1.8808747964866e-05	0.0010695837307419	3.1770181396992e-07	0.0084559125528924
38.48	9.9946832395094	9.7399503111658e-09	1.8874992730121e-07	1.3176323536539e-06	1.8612669538964e-05	0.0010558533109137	3.1460622038361e-07	0.0084495064588598
38.872	9.9946892951889	9.5552845033933e-09	1.8555056980012e-07	1.2965552867252e-06	1.8322390170035e-05	0.0010371060917417	3.0962192008478e-07	0.0084405313544573
39	9.9946911306573	9.5242182943066e-09	1.8452844551216e-07	1.2895282318344e-06	1.8224985469096e-05	0.0010310916922793	3.0794613698683e-07	0.0084376198819449
39.2	9.9946954424606	9.4918374275016e-09	1.8317734241628e-07	1.2794688165871e-06	1.8076529303918e-05	0.0010217686878585	3.0552177180611e-07	0.0084331309647576
39.48	9.9947002558601	9.3576698049585e-09	1.8143025905242e-07	1.266825315574e-06	1.7884026796079e-05	0.0010089196627179	3.0249939553201e-07	0.0084270029934629
39.872	9.994706071964	9.17916937957e-09	1.7832701890023e-07	1.246320574517e-06	1.7600378318135e-05	0.00099128698366688	2.9765105334891e-07	0.008418404999201
40	9.9947078355667	9.1492875404766e-09	1.7733675115328e-07	1.2394950957544e-06	1.7505434716199e-05	0.00098561228372719	2.9602355570442e-07	0.0084156137181782
40.2	9.9947119915796	9.1183198207355e-09	1.7602905568677e-07	1.2297327517378e-06	1.7360907296747e-05	0.00097679942631918	2.9367106016782e-07	0.0084113087677131
40.48	9.9947166278939	8.989147360094e-09	1.7434158683355e-07	1.2174852974813e-06	1.7173846744885e-05	0.0009646253089404	2.9074345511159e-07	0.0084054303894995
40.872	9.9947222194087	8.8174385297903e-09	1.713485289378e-07	1.1976681170775e-06	1.689904313181e-05	0.00094787476556071	2.8605779054685e-07	0.0083971795687116
